i,player_name,player_id,avg_rank
14,Steffi Graf,200414,1.50289
37,Serena Williams,200033,1.74628
0,Martina Navratilova,200293,4.06618
23,Monica Seles,200652,5.49526
29,Lindsay Davenport,200128,5.50717
31,Martina Hingis,200001,5.50927
61,Simona Halep,201594,7.83206
1,Chris Evert,200259,8.10297
48,Maria Sharapova,201345,8.71184
71,Ashleigh Barty,202458,9.86785
83,Iga Swiatek,216347,12.59005
40,Justine Henin,200003,12.92082
41,Kim Clijsters,200079,12.92823
33,Venus Williams,200748,12.93405
20,Arantxa Sanchez Vicario,200017,13.18119
57,Caroline Wozniacki,201496,13.62642
80,Aryna Sabalenka,214544,18.93334
16,Gabriela Sabatini,200572,19.07978
32,Amelie Mauresmo,200065,19.18812
63,Karolina Pliskova,201662,20.07271
53,Victoria Azarenka,201458,21.64208
22,Conchita Martinez,200049,23.27244
4,Pam Shriver,200360,23.28399
7,Hana Mandlikova,200348,23.3064
55,Angelique Kerber,201493,24.40477
77,Naomi Osaka,211768,24.63279
59,Petra Kvitova,201520,29.18541
49,Jelena Jankovic,201347,29.54398
28,Jennifer Capriati,200077,29.55897
18,Jana Novotna,200539,29.61819
54,Agnieszka Radwanska,201474,29.62403
47,Dinara Safina,201336,29.91441
69,Ons Jabeur,202460,33.96523
67,Jessica Pegula,202468,33.97048
45,Svetlana Kuznetsova,201320,34.08412
68,Garbine Muguruza,202469,34.53777
72,Anett Kontaveit,204426,38.16141
70,Elina Svitolina,202494,39.70919
75,Barbora Krejcikova,206252,40.40524
46,Vera Zvonareva,201329,40.4823
43,Na Li,201419,41.67731
78,Paula Badosa,211651,42.12711
84,Cori Gauff,221103,43.24118
27,Mary Pierce,200096,43.65725
51,Ana Ivanovic,201421,45.73206
74,Maria Sakkari,206289,46.67669
79,Sofia Kenin,213550,47.80009
82,Elena Rybakina,214981,48.8733
2,Andrea Jaeger,200381,49.29283
3,Tracy Austin,200397,49.42495
13,Gretchen Magers,200503,49.46858
30,Iva Majoli,200723,50.73535
36,Elena Dementieva,200108,54.72376
60,Sloane Stephens,201585,55.63581
62,Caroline Garcia,201614,55.69606
34,Anastasia Myskina,200772,56.31994
65,Kiki Bertens,202428,56.68239
12,Manuela Maleeva Fragniere,200401,58.76933
5,Wendy Turnbull,200209,59.07758
11,Claudia Kohde Kilsch,200354,59.88399
64,Johanna Konta,202427,60.5862
81,Bianca Andreescu,215370,63.06313
73,Belinda Bencic,202505,63.49768
10,Helena Sukova,200377,67.37732
17,Mary Joe Fernandez,200597,68.1621
6,Jo Durie,200392,68.3118
56,Dominika Cibulkova,201495,68.78581
8,Zina Garrison,200404,69.50302
66,Eugenie Bouchard,202446,69.54054
52,Lucie Safarova,201425,70.65423
35,Francesca Schiavone,201212,70.92198
9,Kathy Jordan,200389,71.06136
39,Jelena Dokic,200120,72.06738
76,Jelena Ostapenko,211533,72.66336
21,Amanda Coetzer,200064,73.18915
38,Nadia Petrova,200069,73.46173
44,Samantha Stosur,201325,73.65432
42,Daniela Hantuchova,201290,75.78722
58,Sara Errani,201506,77.10084
19,Natalia Zvereva,200116,77.14774
25,Magdalena Maleeva,200086,79.4957
50,Anna Chakvetadze,201403,79.95255
15,Nathalie Tauziat,200097,80.2501
24,Kimiko Date Krumm,200617,81.93701
26,Anke Huber,200081,84.23249
