i,player_name,player_id,avg_rank
71,Roger Federer,103819,1.0
79,Rafael Nadal,104745,2.0
83,Novak Djokovic,104925,3.0
43,Pete Sampras,101948,4.0
13,Jimmy Connors,100284,5.499964
23,Ivan Lendl,100656,5.500036
36,Andre Agassi,101736,7.0
34,Boris Becker,101414,8.0
33,Stefan Edberg,101222,9.0
19,John McEnroe,100581,10.499747
84,Andy Murray,104918,10.500253
25,Mats Wilander,101062,12.0
17,Bjorn Borg,100437,13.499045
76,Andy Roddick,104053,13.876131
53,Yevgeny Kafelnikov,102338,14.749978
12,Guillermo Vilas,100282,15.874846
68,Lleyton Hewitt,103720,17.0
42,Michael Chang,102021,18.500085
92,Daniil Medvedev,106421,19.000066
77,David Ferrer,103970,20.249729
39,Jim Courier,101793,20.25012
66,Marat Safin,103498,22.874201
80,Stan Wawrinka,104527,22.999682
93,Alexander Zverev,100644,24.74968
70,Juan Carlos Ferrero,103507,25.064532
58,Gustavo Kuerten,102856,25.21446
75,Nikolay Davydenko,103786,26.594505
38,Goran Ivanisevic,101964,27.50294
16,Vitas Gerulaitis,100342,29.0
35,Thomas Muster,101404,30.0
49,Patrick Rafter,102158,31.499838
61,Carlos Moya,102845,31.500162
95,Stefanos Tsitsipas,126774,33.499912
40,Michael Stich,101529,33.500088
87,Juan Martin del Potro,105223,35.499722
44,Sergi Bruguera,101843,35.750687
91,Dominic Thiem,106233,36.749591
69,Guillermo Coria,103909,38.0
21,Yannick Noah,100676,39.499336
99,Carlos Alcaraz,207989,39.500664
56,Magnus Norman,102796,41.5
88,Kei Nishikori,105453,41.5
37,Petr Korda,101434,43.499811
24,Andres Gomez,100653,43.500189
54,Marcelo Rios,102701,45.500178
81,Robin Soderling,104417,46.23703
97,Casper Ruud,134770,47.250043
74,David Nalbandian,103900,47.624064
55,Tim Henman,102450,48.965591
65,Ivan Ljubicic,103344,50.428159
11,Brian Gottfried,100261,50.834895
20,Jose Luis Clerc,100555,51.16004
18,Gene Mayer,100428,53.0
59,Tommy Haas,103163,54.0
94,Andrey Rublev,126094,56.000608
32,Miloslav Mecir,101036,56.249372
86,Marin Cilic,105227,56.249567
10,Roscoe Tanner,100255,57.80657
90,Grigor Dimitrov,105777,59.040722
6,Ilie Nastase,100119,60.306164
51,Alex Corretja,102374,61.174311
82,Tomas Berdych,104607,61.699306
45,Richard Krajicek,101990,63.304052
30,Brad Gilbert,100763,63.555675
4,John Newcombe,100087,64.651708
47,Greg Rusedski,102257,65.961945
89,Milos Raonic,105683,67.0
52,Jonas Bjorkman,102035,68.0
8,Manuel Orantes,100174,69.0
67,Fernando Gonzalez,103602,70.0
15,Raul Ramirez,100309,71.499742
72,James Blake,103484,71.500258
27,Jimmy Arias,101061,73.4995
3,Tom Okker,100084,73.750102
98,Jannik Sinner,206173,75.12546
62,Nicolas Kiefer,103017,75.624938
1,Rod Laver,100029,77.499493
31,Guy Forget,101098,77.500507
48,Todd Martin,101774,80.000758
29,Pat Cash,101138,80.24901
78,Jo-Wilfried Tsonga,104542,80.596377
85,Kevin Anderson,104731,82.064004
7,Stan Smith,100126,82.770714
46,Thomas Enqvist,102358,84.028069
9,Eddie Dibbs,100232,84.291068
22,Kevin Curren,100529,86.0
100,Holger Rune,208029,87.0
50,Andrei Medvedev,102446,88.0
2,Arthur Ashe,100074,89.0
0,Ken Rosewall,100016,90.0
28,Henri Leconte,100936,91.0
60,Rainer Schuettler,102783,92.999628
73,Tommy Robredo,103990,93.000052
14,Harold Solomon,100286,93.00032
96,Taylor Fritz,126203,96.498931
63,Gaston Gaudio,103292,96.499268
26,Anders Jarryd,100757,96.499628
41,Cedric Pioline,101611,96.502173
5,Jan Kodes,100113,99.500429
64,Sebastien Grosjean,103206,99.74981
57,Jiri Novak,102562,100.749761
