i,player_name,player_id,avg_rank
122,Serena Williams,200033,2.00577
40,Steffi Graf,200414,2.25287
0,Martina Navratilova,200293,2.40417
76,Monica Seles,200652,4.99494
111,Venus Williams,200748,5.15796
94,Lindsay Davenport,200128,7.3482
144,Maria Sharapova,201345,10.15622
54,Gabriela Sabatini,200572,10.38838
164,Agnieszka Radwanska,201474,10.64244
73,Conchita Martinez,200049,10.76194
132,Kim Clijsters,200079,11.12255
66,Arantxa Sanchez Vicario,200017,12.38529
170,Caroline Wozniacki,201496,12.52475
110,Amelie Mauresmo,200065,12.60265
25,Manuela Maleeva Fragniere,200401,16.75716
188,Simona Halep,201594,17.08194
1,Chris Evert,200259,18.08092
11,Zina Garrison,200404,18.22483
180,Petra Kvitova,201520,18.97652
103,Martina Hingis,200001,19.70131
4,Pam Shriver,200360,20.07507
60,Jana Novotna,200539,20.97877
141,Svetlana Kuznetsova,201320,21.53047
168,Angelique Kerber,201493,23.6055
161,Victoria Azarenka,201458,25.05194
15,Helena Sukova,200377,25.63658
128,Justine Henin,200003,26.72126
118,Elena Dementieva,200108,27.28843
83,Mary Pierce,200096,28.12207
88,Jennifer Capriati,200077,28.25344
57,Mary Joe Fernandez,200597,29.3047
192,Karolina Pliskova,201662,30.54041
145,Jelena Jankovic,201347,34.20703
142,Vera Zvonareva,201329,35.29189
21,Claudia Kohde Kilsch,200354,36.44017
155,Ana Ivanovic,201421,36.74141
8,Hana Mandlikova,200348,36.95043
224,Aryna Sabalenka,214544,38.73196
81,Anke Huber,200081,39.33835
197,Garbine Muguruza,202469,39.43558
123,Nadia Petrova,200069,39.48789
203,Elina Svitolina,202494,43.11658
204,Ashleigh Barty,202458,43.39954
138,Na Li,201419,44.66722
53,Nathalie Tauziat,200097,45.76837
69,Amanda Coetzer,200064,46.93199
64,Natalia Zvereva,200116,48.05267
109,Patty Schnyder,200067,48.18636
228,Iga Swiatek,216347,48.40248
52,Katerina Maleeva,200455,48.95817
215,Naomi Osaka,211768,49.86467
139,Samantha Stosur,201325,50.89324
140,Marion Bartoli,201294,52.67335
79,Magdalena Maleeva,200086,55.38091
143,Dinara Safina,201336,55.60788
207,Belinda Bencic,202505,55.82852
202,Ons Jabeur,202460,56.07743
115,Anastasia Myskina,200772,56.99198
208,Maria Sakkari,206289,61.01106
136,Daniela Hantuchova,201290,61.93264
191,Madison Keys,201619,62.11483
169,Dominika Cibulkova,201495,64.041
97,Iva Majoli,200723,64.87505
22,Barbara Potter,200375,65.08724
77,Kimiko Date Krumm,200617,66.10388
196,Jessica Pegula,202468,67.16311
13,Kathy Rinaldi Stunkel,200419,68.77015
116,Francesca Schiavone,201212,69.04253
190,Caroline Garcia,201614,70.52791
6,Wendy Turnbull,200209,71.49104
121,Flavia Pennetta,201355,72.18193
220,Sofia Kenin,213550,73.03656
231,Cori Gauff,221103,73.36146
90,Chanda Rubin,200039,73.58475
80,Sandrine Testud,200016,73.6081
45,Lori Mcneil,200428,74.07692
210,Barbora Krejcikova,206252,75.87365
194,Kiki Bertens,202428,76.15494
193,Johanna Konta,202427,79.00668
226,Bianca Andreescu,215370,79.95109
175,Sara Errani,201506,80.98057
186,Sloane Stephens,201585,81.91222
221,Daria Kasatkina,214082,83.96622
124,Jelena Dokic,200120,84.24742
17,Bonnie Gadusek,200373,85.06973
12,Kathy Jordan,200389,85.50201
42,Catarina Lindqvist Ryan,200453,86.72233
5,Sylvia Hanika,200366,87.52126
219,Paula Badosa,211651,90.35648
227,Elena Rybakina,214981,91.04419
154,Anna Chakvetadze,201403,92.37383
35,Gretchen Magers,200503,93.71641
212,Jelena Ostapenko,211533,94.20433
181,Carla Suarez Navarro,201521,94.25239
9,Andrea Temesvari,200442,94.48005
89,Irina Spirlea,200051,96.71939
113,Anna Kournikova,200113,96.77613
172,Anastasia Pavlyuchenkova,201499,97.12726
70,Brenda Schultz Mccarthy,200554,97.36647
205,Anett Kontaveit,204426,99.05168
129,Roberta Vinci,201311,100.09319
153,Nicole Vaidisova,201400,102.00821
19,Carling Bassett Seguso,200423,102.33418
49,Stephanie Rehe,200664,104.07133
10,Bettina Bunge,200372,104.80188
213,Veronika Kudermetova,206368,108.43614
96,Ai Sugiyama,200085,110.46765
167,Andrea Petkovic,201492,110.48802
2,Andrea Jaeger,200381,110.82493
71,Julie Halard Decugis,200112,112.51516
7,Jo Durie,200392,112.55272
157,Lucie Safarova,201425,112.82421
78,Silvia Farina Elia,200700,113.28818
218,Elise Mertens,210722,114.01043
63,Barbara Paulus,200604,114.09691
209,Beatriz Haddad Maia,206242,115.46864
173,Julia Goerges,201504,115.80795
211,Danielle Collins,203389,115.81856
184,Anastasija Sevastova,201545,118.79331
156,Shahar Peer,201424,118.89587
68,Amy Frazier,200041,123.35038
195,Eugenie Bouchard,202446,123.93904
3,Tracy Austin,200397,124.18392
230,Emma Raducanu,221054,126.47047
222,Karolina Muchova,214096,126.77436
225,Marketa Vondrousova,214954,126.90769
91,Dominique Monami,200080,127.25904
223,Liudmila Samsonova,214643,127.39424
47,Billie Jean King,200190,127.84951
14,Kathy Horvath,200585,130.81237
174,Kate Makarova,201505,131.77754
149,Maria Kirilenko,201373,132.65063
56,Helen Kelesi,200472,134.82745
62,Judith Wiesner,200482,135.22064
176,Sabine Lisicki,201513,137.32759
31,Raffaella Reggi Concato,200422,138.22427
28,Lisa Bonder Kreiss,200465,139.22078
119,Alicia Molik,200008,139.87347
166,Timea Bacsinszky,201490,141.04376
108,Meghann Shaughnessy,200046,142.39973
95,Paola Suarez,200107,143.13984
183,Kristina Mladenovic,201540,144.32869
232,Qinwen Zheng,221012,145.20111
229,Leylah Fernandez,220367,145.58394
99,Barbara Schett,200032,145.7978
93,Anna Smashnova,200040,147.48729
30,Pam Casale,200533,147.49425
217,Jennifer Brady,206108,148.83338
214,Ekaterina Alexandrova,206420,149.1042
26,Alycia Moulton,200408,154.34647
16,Ivanna Madruga,200961,154.37334
24,Michelle Torres,200994,154.4748
18,Virginia Ruzici,200337,155.32329
32,Mareen Louie Harper,200959,157.36236
48,Larisa Savchenko,200450,158.13482
98,Elena Likhovtseva,200048,159.42672
185,Petra Martic,201549,159.48076
160,Elena Vesnina,201455,159.48595
65,Leila Meskhi,200601,159.80076
107,Nathalie Dechy,200109,160.83704
201,Martina Trevisan,203354,161.89395
87,Karina Habsudova,200006,162.73179
20,Eva Pfaff,200384,163.00291
179,Yanina Wickmayer,201518,164.29909
46,Robin White,200416,166.8482
182,Coco Vandeweghe,201535,167.56388
200,Magda Linette,202663,168.84028
67,Danielle Jones,200636,169.11039
134,Daja Bedanova,201083,170.45744
84,Lisa Raymond,200020,170.73294
131,Elena Bovina,200764,171.37818
146,Tatiana Golovin,201364,172.09392
198,Qiang Wang,202492,172.5333
36,Kate Gompert,201035,172.86872
163,Kaia Kanepi,201466,176.7882
187,Alison Riske Amritraj,201590,177.62249
178,Magdalena Rybarikova,201517,178.58819
206,Donna Vekic,202499,178.83635
29,Catherine Tanvier,200395,180.3987
82,Kimberly Po Messerli,200660,182.45125
72,Sabine Appelmans,200037,183.0877
58,Sabine Hack,200651,183.16834
38,Dianne Fromholtz,200221,183.68538
61,Mary Innes,213027,184.37447
158,Alize Cornet,201427,184.86776
43,Sandra Cecchini,200725,186.27206
171,Agnes Szavay,201497,187.20974
199,Mihaela Buzarnescu,202596,187.84355
50,Belinda Cordwell,200462,188.70995
117,Alexandra Stevenson,200083,189.22103
85,Naoko Sawamatsu,200644,190.58773
27,Anne White,200387,190.71327
37,Liz Smylie,200362,191.71936
55,Melissa Gurney,201019,193.67209
127,Eleni Daniilidou,201305,195.11728
33,Laura Arraya,200630,196.99677
34,Terry Phelps,200496,197.93605
105,Fabiola Zuluaga,200110,198.21238
51,Isabel Cueto,200650,198.49484
23,Rosalyn Fairbank,200357,198.57718
152,Shuai Peng,201397,198.75284
101,Silvija Talaja,200007,198.75397
92,Ruxandra Dragomir Ilie,200059,201.8329
159,Aravane Rezai,201431,203.0602
150,Jie Zheng,201386,203.16219
151,Anna Lena Groenefeld,201394,203.20741
126,Iroda Tulyaganova,201204,203.56974
162,Kirsten Flipkens,201465,204.07843
106,Anne Kremer,200124,205.95607
148,Karolina Sprem,201368,206.13361
177,Alisa Kleybanova,201515,207.67642
41,Gigi Fernandez,200417,208.49453
147,Barbora Strycova,201366,208.87954
39,Pascale Paradis Mangon,200421,209.78559
59,Susan Sloane Lundy,200673,212.18166
120,Mirjana Lucic,200002,212.29387
44,Patty Fendick,200548,212.56622
135,Virginie Razzano,200043,214.70831
165,Varvara Lepchenko,201478,215.04486
216,Ana Konjuh,211951,215.70292
189,Daria Saville,201611,216.97452
125,Anabel Medina Garrigues,201286,217.34363
137,Alona Bondarenko,201416,218.0387
102,Tatiana Panova,200063,219.52118
112,Sybille Bammer,201446,220.37934
104,Magui Serna,200027,222.54588
133,Klara Koukalova,201344,222.76246
130,Maria Jose Martinez Sanchez,201287,222.84456
100,Tamarine Tanasugarn,200009,224.23091
114,Katarina Srebotnik,200011,226.58648
86,Ines Gorrochategui,200667,227.52909
75,Meredith Mcgrath,200699,228.02801
74,Yayuk Basuki,200653,229.25329
