i,player_name,player_id,avg_rank
23,Steffi Graf,200414,2.00149
64,Serena Williams,200033,2.25275
38,Monica Seles,200652,2.74579
0,Martina Navratilova,200293,4.62458
49,Lindsay Davenport,200128,5.73806
77,Maria Sharapova,201345,5.89966
57,Venus Williams,200748,6.15955
1,Chris Evert,200259,8.48296
54,Martina Hingis,200001,9.39797
99,Simona Halep,201594,9.92112
33,Arantxa Sanchez Vicario,200017,10.28542
110,Ashleigh Barty,202458,13.97387
67,Justine Henin,200003,14.74973
69,Kim Clijsters,200079,14.88151
37,Conchita Martinez,200049,15.73174
28,Gabriela Sabatini,200572,15.99491
90,Caroline Wozniacki,201496,16.50561
94,Petra Kvitova,201520,16.51596
4,Pam Shriver,200360,19.6777
102,Karolina Pliskova,201662,19.88601
56,Amelie Mauresmo,200065,19.89044
30,Jana Novotna,200539,23.20553
85,Agnieszka Radwanska,201474,23.46657
128,Iga Swiatek,216347,25.68083
124,Aryna Sabalenka,214544,25.72358
74,Svetlana Kuznetsova,201320,26.51671
45,Jennifer Capriati,200077,26.5672
8,Hana Mandlikova,200348,28.53786
88,Angelique Kerber,201493,29.17026
20,Manuela Maleeva Fragniere,200401,29.93851
84,Victoria Azarenka,201458,30.35198
11,Zina Garrison,200404,30.48054
43,Mary Pierce,200096,33.31244
119,Naomi Osaka,211768,34.1287
61,Elena Dementieva,200108,34.13237
107,Garbine Muguruza,202469,34.13393
109,Elina Svitolina,202494,35.35295
78,Jelena Jankovic,201347,36.26385
15,Helena Sukova,200377,41.4403
108,Ons Jabeur,202460,41.8618
82,Ana Ivanovic,201421,42.35713
71,Na Li,201419,42.44464
106,Jessica Pegula,202468,42.55117
18,Claudia Kohde Kilsch,200354,43.20953
29,Mary Joe Fernandez,200597,43.56467
113,Maria Sakkari,206289,44.94885
76,Dinara Safina,201336,45.80452
130,Cori Gauff,221103,49.41294
100,Caroline Garcia,201614,49.48257
75,Vera Zvonareva,201329,49.75963
121,Sofia Kenin,213550,51.67012
42,Anke Huber,200081,51.90185
52,Iva Majoli,200723,54.38611
111,Anett Kontaveit,204426,55.2497
72,Samantha Stosur,201325,55.97183
127,Elena Rybakina,214981,56.02056
59,Anastasia Myskina,200772,56.10745
39,Kimiko Date Krumm,200617,59.59395
120,Paula Badosa,211651,60.69495
115,Barbora Krejcikova,206252,60.95555
126,Bianca Andreescu,215370,60.99218
65,Nadia Petrova,200069,62.70135
34,Amanda Coetzer,200064,64.54635
2,Andrea Jaeger,200381,64.56024
22,Gretchen Magers,200503,64.72305
27,Nathalie Tauziat,200097,65.10949
3,Tracy Austin,200397,66.52329
12,Kathy Jordan,200389,67.00238
104,Kiki Bertens,202428,68.85668
98,Sloane Stephens,201585,71.00552
6,Wendy Turnbull,200209,74.45626
93,Sara Errani,201506,74.46494
123,Karolina Muchova,214096,75.17276
7,Jo Durie,200392,75.52406
125,Marketa Vondrousova,214954,75.78848
32,Natalia Zvereva,200116,75.86028
81,Anna Chakvetadze,201403,78.05793
66,Jelena Dokic,200120,80.24967
122,Daria Kasatkina,214082,81.1023
112,Belinda Bencic,202505,82.08448
116,Danielle Collins,203389,82.3491
117,Jelena Ostapenko,211533,83.01103
89,Dominika Cibulkova,201495,83.72083
105,Eugenie Bouchard,202446,85.00143
60,Francesca Schiavone,201212,85.55325
118,Veronika Kudermetova,206368,86.28453
114,Beatriz Haddad Maia,206242,86.28455
5,Sylvia Hanika,200366,87.4993
9,Andrea Temesvari,200442,87.98045
55,Patty Schnyder,200067,88.86691
10,Bettina Bunge,200372,88.87796
129,Emma Raducanu,221054,90.64924
47,Chanda Rubin,200039,91.92031
103,Johanna Konta,202427,92.09286
73,Marion Bartoli,201294,93.45624
70,Daniela Hantuchova,201290,95.5396
16,Bonnie Gadusek,200373,95.60274
83,Lucie Safarova,201425,98.11406
26,Katerina Maleeva,200455,101.59021
91,Julia Goerges,201504,102.78603
68,Roberta Vinci,201311,102.92418
53,Barbara Schett,200032,103.32214
96,Coco Vandeweghe,201535,104.01408
13,Kathy Rinaldi Stunkel,200419,104.38699
21,Lisa Bonder Kreiss,200465,105.54417
40,Magdalena Maleeva,200086,105.597
63,Flavia Pennetta,201355,106.71591
17,Carling Bassett Seguso,200423,107.74941
86,Timea Bacsinszky,201490,108.0699
95,Carla Suarez Navarro,201521,108.38031
101,Madison Keys,201619,108.40571
97,Kristina Mladenovic,201540,108.95447
92,Kate Makarova,201505,109.84092
14,Kathy Horvath,200585,112.14077
87,Andrea Petkovic,201492,112.31336
36,Julie Halard Decugis,200112,113.8128
25,Stephanie Rehe,200664,117.0758
58,Anna Kournikova,200113,117.31973
50,Paola Suarez,200107,118.30921
46,Irina Spirlea,200051,119.19307
62,Alicia Molik,200008,119.77235
79,Maria Kirilenko,201373,122.47732
19,Barbara Potter,200375,122.8091
80,Nicole Vaidisova,201400,123.98682
44,Karina Habsudova,200006,124.99951
41,Sandrine Testud,200016,125.30593
24,Lori Mcneil,200428,125.31928
48,Dominique Monami,200080,125.50938
51,Ai Sugiyama,200085,125.66889
35,Brenda Schultz Mccarthy,200554,128.7964
31,Barbara Paulus,200604,129.65231
