i,player_name,player_id,avg_rank
37,Serena Williams,200033,1.99887
14,Steffi Graf,200414,2.00236
0,Martina Navratilova,200293,2.57847
29,Lindsay Davenport,200128,6.08137
31,Martina Hingis,200001,6.28828
23,Monica Seles,200652,6.31921
48,Maria Sharapova,201345,7.12745
61,Simona Halep,201594,7.4477
1,Chris Evert,200259,7.65453
71,Ashleigh Barty,202458,10.49498
33,Venus Williams,200748,11.48966
41,Kim Clijsters,200079,12.41733
20,Arantxa Sanchez Vicario,200017,12.79408
83,Iga Swiatek,216347,12.97531
40,Justine Henin,200003,14.17143
57,Caroline Wozniacki,201496,14.7407
80,Aryna Sabalenka,214544,18.66743
32,Amelie Mauresmo,200065,18.88562
16,Gabriela Sabatini,200572,20.08724
63,Karolina Pliskova,201662,20.20936
22,Conchita Martinez,200049,20.48602
53,Victoria Azarenka,201458,21.44831
7,Hana Mandlikova,200348,23.37092
55,Angelique Kerber,201493,24.24419
77,Naomi Osaka,211768,24.25725
4,Pam Shriver,200360,26.66125
54,Agnieszka Radwanska,201474,28.95118
28,Jennifer Capriati,200077,28.99858
49,Jelena Jankovic,201347,29.23214
47,Dinara Safina,201336,29.29307
59,Petra Kvitova,201520,29.88111
18,Jana Novotna,200539,31.75455
69,Ons Jabeur,202460,32.34219
67,Jessica Pegula,202468,34.51884
45,Svetlana Kuznetsova,201320,34.67249
68,Garbine Muguruza,202469,34.85169
72,Anett Kontaveit,204426,36.5377
78,Paula Badosa,211651,39.65944
70,Elina Svitolina,202494,39.93221
46,Vera Zvonareva,201329,41.13994
75,Barbora Krejcikova,206252,41.48688
84,Cori Gauff,221103,42.49308
82,Elena Rybakina,214981,43.16226
27,Mary Pierce,200096,43.97992
74,Maria Sakkari,206289,44.77698
43,Na Li,201419,45.36262
51,Ana Ivanovic,201421,45.89148
79,Sofia Kenin,213550,50.25996
3,Tracy Austin,200397,50.84406
62,Caroline Garcia,201614,51.2337
2,Andrea Jaeger,200381,51.37744
13,Gretchen Magers,200503,51.99594
60,Sloane Stephens,201585,51.99908
34,Anastasia Myskina,200772,53.71644
36,Elena Dementieva,200108,55.60993
30,Iva Majoli,200723,56.78053
64,Johanna Konta,202427,57.62619
65,Kiki Bertens,202428,58.71958
12,Manuela Maleeva Fragniere,200401,59.28693
81,Bianca Andreescu,215370,60.60604
5,Wendy Turnbull,200209,62.14265
73,Belinda Bencic,202505,64.88459
11,Claudia Kohde Kilsch,200354,65.57626
10,Helena Sukova,200377,65.81125
6,Jo Durie,200392,65.87749
8,Zina Garrison,200404,68.27398
56,Dominika Cibulkova,201495,68.33771
52,Lucie Safarova,201425,69.29812
35,Francesca Schiavone,201212,69.46644
9,Kathy Jordan,200389,70.79841
17,Mary Joe Fernandez,200597,71.81896
66,Eugenie Bouchard,202446,72.15991
39,Jelena Dokic,200120,72.59581
76,Jelena Ostapenko,211533,72.6662
21,Amanda Coetzer,200064,73.32392
44,Samantha Stosur,201325,73.65168
58,Sara Errani,201506,73.65704
38,Nadia Petrova,200069,73.66833
19,Natalia Zvereva,200116,76.6355
42,Daniela Hantuchova,201290,77.05622
25,Magdalena Maleeva,200086,77.42711
50,Anna Chakvetadze,201403,78.57343
15,Nathalie Tauziat,200097,79.47337
24,Kimiko Date Krumm,200617,83.44153
26,Anke Huber,200081,84.5106
