i,player_name,player_id,avg_rank
41,Roger Federer,103819,2.49295
26,Pete Sampras,101948,2.49944
46,Rafael Nadal,104745,2.50215
48,Novak Djokovic,104925,2.50546
15,Ivan Lendl,100656,5.50062
10,Jimmy Connors,100284,5.74872
13,John McEnroe,100581,7.4055
20,Andre Agassi,101736,7.62731
12,Bjorn Borg,100437,8.81216
17,Stefan Edberg,101222,11.22011
49,Andy Murray,104918,11.67355
38,Lleyton Hewitt,103720,11.72462
33,Gustavo Kuerten,102856,13.89433
23,Jim Courier,101793,14.89213
44,Andy Roddick,104053,17.16125
59,Carlos Alcaraz,207989,17.42979
5,Ilie Nastase,100119,18.99852
18,Boris Becker,101414,19.24406
37,Marat Safin,103498,19.27464
16,Mats Wilander,101062,19.88508
6,Stan Smith,100126,20.46462
7,Manuel Orantes,100174,20.46909
55,Daniil Medvedev,106421,21.29493
31,Marcelo Rios,102701,22.11419
4,John Newcombe,100087,22.31576
30,Yevgeny Kafelnikov,102338,27.25082
19,Thomas Muster,101404,27.90399
25,Michael Chang,102021,28.63326
3,Tom Okker,100084,28.8068
9,Guillermo Vilas,100282,32.01547
35,Carlos Moya,102845,33.36274
34,Tommy Haas,103163,33.5726
28,Patrick Rafter,102158,33.94546
22,Goran Ivanisevic,101964,34.32555
21,Petr Korda,101434,35.60628
2,Arthur Ashe,100074,37.59871
0,Ken Rosewall,100016,37.82602
50,Marin Cilic,105227,41.51058
51,Juan Martin del Potro,105223,41.51603
53,Grigor Dimitrov,105777,41.52006
43,Nikolay Davydenko,103786,41.5213
42,David Nalbandian,103900,41.54266
24,Michael Stich,101529,42.27891
36,Ivan Ljubicic,103344,44.02608
40,Juan Carlos Ferrero,103507,45.21344
54,Dominic Thiem,106233,45.25448
58,Casper Ruud,134770,46.20869
1,Rod Laver,100029,46.61011
27,Sergi Bruguera,101843,46.75218
45,David Ferrer,103970,48.48351
47,Stan Wawrinka,104527,49.07726
29,Alex Corretja,102374,49.15531
56,Alexander Zverev,100644,51.91701
32,Magnus Norman,102796,52.17685
57,Stefanos Tsitsipas,126774,53.44254
8,Brian Gottfried,100261,54.67713
11,Vitas Gerulaitis,100342,56.18842
52,Milos Raonic,105683,56.4064
14,Yannick Noah,100676,57.74398
39,Guillermo Coria,103909,58.77839
